gender,age,country,sim_spent,day
F,20,Mexico,7.97,tuesday
M,29,Colombia,8.66,thursday
M,27,Spain,12.3,friday
M,30,Peru,8.35,tuesday
M,39,Spain,4.14,tuesday
F,35,Peru,12.18,wednesday
F,30,Spain,9.74,thursday
F,25,Peru,10.56,monday
M,24,Mexico,10.11,thursday
F,30,Mexico,12.03,tuesday
F,26,Colombia,10.12,monday
F,34,Mexico,11.54,friday
F,30,Mexico,12.69,friday
M,27,Mexico,9.56,tuesday
M,19,Mexico,11.96,friday
M,27,Peru,10.08,wednesday
F,34,Spain,10.04,monday
M,37,Peru,11.42,friday
F,23,Colombia,14.11,friday
M,31,Peru,13.05,thursday
F,27,Spain,12.41,tuesday
F,31,Mexico,5.87,tuesday
M,29,Colombia,10.61,wednesday
F,21,Peru,11.38,tuesday
F,27,Mexico,10.86,friday
M,32,Colombia,9.68,monday
F,28,Colombia,5.14,wednesday
F,29,Spain,10.5,friday
F,29,Colombia,11.92,monday
M,25,Mexico,9.36,tuesday
M,26,Mexico,8.65,thursday
M,33,Colombia,8.74,wednesday
F,28,Spain,8.79,friday
M,25,Spain,7.51,tuesday
M,29,Spain,9.87,wednesday
M,35,Mexico,9.4,tuesday
M,39,Peru,7.87,thursday
F,35,Mexico,10.99,friday
M,32,Peru,8.68,tuesday
F,34,Spain,13.3,monday
F,33,Spain,12.46,wednesday
M,35,Mexico,11.69,friday
F,30,Mexico,7.26,thursday
F,28,Peru,9.37,tuesday
F,28,Spain,5.26,monday
F,33,Peru,7.39,friday
F,36,Peru,10.93,wednesday
F,30,Spain,7.65,friday
M,33,Spain,10.35,wednesday
M,30,Colombia,9.19,monday
M,32,Mexico,9.67,friday
F,28,Peru,5.83,tuesday
M,36,Colombia,7.78,tuesday
F,30,Mexico,7.15,monday
F,32,Spain,10.49,friday
M,29,Mexico,10.42,thursday
F,28,Mexico,11.31,friday
F,24,Spain,8.67,thursday
M,29,Mexico,6.1,monday
F,33,Mexico,5.44,wednesday
M,25,Spain,11.65,friday
F,34,Mexico,9.92,monday
M,32,Peru,11.35,wednesday
F,27,Colombia,12.51,wednesday
M,29,Colombia,7.82,friday
M,30,Colombia,9.84,tuesday
M,29,Mexico,9.65,tuesday
M,28,Spain,10.3,thursday
M,29,Spain,12.26,monday
F,28,Colombia,7.3,tuesday
F,31,Mexico,8.76,tuesday
F,30,Mexico,8.53,wednesday
M,26,Spain,9.88,friday
M,26,Peru,9.38,thursday
F,31,Spain,8.97,wednesday
M,27,Spain,8.65,monday
M,29,Spain,10.75,thursday
F,31,Colombia,10.25,monday
F,32,Peru,11.01,wednesday
F,29,Mexico,10.81,tuesday
M,31,Spain,11.89,thursday
M,28,Mexico,11.93,tuesday
M,33,Peru,10.17,wednesday
F,29,Spain,9.72,wednesday
M,33,Colombia,12.25,friday
F,27,Peru,8.47,wednesday
F,31,Mexico,10.7,wednesday
M,26,Peru,7.86,wednesday
M,35,Spain,7.57,friday
F,29,Spain,6.13,friday
M,28,Peru,6.9,thursday
F,34,Spain,7.67,wednesday
F,33,Mexico,15.1,wednesday
F,35,Peru,9.21,wednesday
M,30,Spain,10.49,tuesday
M,34,Peru,9.33,wednesday
F,32,Peru,10.97,friday
M,24,Mexico,8.36,wednesday
F,31,Colombia,9.82,tuesday
F,28,Spain,9.5,thursday
M,32,Colombia,10.73,friday
M,31,Peru,13.67,tuesday
M,29,Colombia,10.69,monday
M,32,Peru,9.37,monday
M,39,Peru,10.6,monday
F,25,Mexico,10.3,wednesday
M,31,Peru,9.95,tuesday
M,33,Spain,9.47,tuesday
F,31,Spain,13.26,wednesday
F,30,Spain,13.33,monday
M,27,Peru,11.75,monday
M,29,Colombia,10.89,monday
F,29,Mexico,9.78,monday
F,32,Mexico,9.81,wednesday
F,29,Colombia,12.99,wednesday
M,32,Mexico,10.27,wednesday
F,29,Peru,9.23,monday
F,29,Colombia,9.06,friday
M,30,Colombia,9.15,tuesday
M,38,Peru,9.18,monday
M,32,Spain,11.99,thursday
F,32,Colombia,9.41,tuesday
M,28,Spain,11.11,friday
M,30,Peru,8.53,monday
F,28,Spain,9.92,friday
M,34,Mexico,11.68,friday
M,33,Spain,10.3,thursday
M,25,Peru,8.08,friday
M,30,Mexico,8.03,monday
M,25,Colombia,9.39,thursday
M,29,Mexico,10.43,wednesday
F,36,Colombia,12.16,tuesday
F,23,Colombia,10.42,tuesday
M,31,Spain,10.29,monday
F,35,Spain,9.5,thursday
M,38,Colombia,9.1,thursday
M,28,Colombia,11.87,tuesday
F,37,Mexico,10.65,monday
F,29,Spain,11.36,friday
M,38,Mexico,8.36,tuesday
F,31,Peru,8.91,friday
F,32,Spain,8.48,monday
M,32,Mexico,10.15,wednesday
F,28,Mexico,12.31,monday
M,25,Spain,13.74,tuesday
M,26,Colombia,10.88,thursday
F,29,Colombia,11.11,tuesday
F,27,Peru,10.59,friday
F,36,Mexico,9.31,friday
F,38,Spain,13.07,wednesday
M,34,Colombia,9.74,monday
F,22,Spain,8.9,tuesday
F,35,Spain,8.32,monday
F,29,Mexico,9.4,friday
F,31,Peru,8.98,thursday
M,24,Peru,9.59,thursday
M,30,Peru,10.67,friday
F,37,Colombia,9.77,wednesday
F,36,Spain,7.85,wednesday
M,23,Spain,9.17,thursday
M,38,Peru,10.65,tuesday
F,29,Mexico,7.22,wednesday
M,30,Peru,12.64,thursday
M,32,Colombia,6.32,thursday
F,23,Peru,5.05,wednesday
M,36,Peru,10.39,friday
M,27,Peru,6.76,thursday
M,30,Spain,8.8,monday
M,24,Peru,8.22,monday
F,29,Spain,8.55,monday
M,29,Mexico,10.25,monday
M,33,Peru,9.7,tuesday
M,39,Mexico,9.0,monday
F,32,Spain,8.47,monday
M,31,Peru,15.02,friday
F,30,Mexico,10.97,thursday
F,34,Colombia,10.87,monday
F,36,Mexico,11.52,tuesday
M,34,Mexico,9.65,monday
M,26,Colombia,11.91,thursday
F,29,Colombia,8.25,monday
F,33,Colombia,12.47,friday
F,27,Spain,13.12,friday
M,36,Spain,12.32,tuesday
F,28,Spain,10.03,monday
M,32,Spain,8.84,friday
M,27,Peru,8.82,tuesday
F,30,Spain,5.93,tuesday
M,28,Spain,10.17,monday
M,24,Mexico,11.06,wednesday
M,31,Mexico,8.15,thursday
F,33,Spain,10.92,monday
M,26,Mexico,11.11,wednesday
M,25,Peru,13.03,thursday
M,31,Peru,9.72,friday
M,24,Colombia,9.32,friday
F,27,Colombia,8.44,tuesday
F,33,Peru,11.48,monday
M,32,Spain,12.51,wednesday
F,29,Colombia,8.93,tuesday
F,36,Peru,6.9,friday
F,28,Spain,7.36,friday
M,29,Spain,8.27,thursday
F,31,Mexico,12.35,friday
F,30,Spain,12.87,thursday
F,35,Peru,7.38,monday
M,30,Mexico,9.98,monday
M,33,Peru,9.65,wednesday
F,29,Mexico,12.58,wednesday
M,38,Peru,10.68,monday
M,36,Colombia,8.96,wednesday
F,35,Colombia,11.76,monday
M,27,Colombia,11.91,monday
M,32,Spain,11.12,wednesday
F,32,Mexico,14.67,friday
M,26,Mexico,8.49,tuesday
M,32,Peru,9.74,wednesday
F,24,Peru,12.29,friday
F,24,Peru,11.6,tuesday
F,32,Mexico,13.56,friday
F,26,Colombia,10.05,thursday
F,23,Colombia,10.37,thursday
M,33,Spain,10.69,tuesday
F,26,Mexico,6.46,tuesday
M,31,Peru,8.99,thursday
M,23,Spain,10.52,friday
M,36,Spain,11.0,monday
F,27,Colombia,9.05,wednesday
F,30,Peru,10.67,wednesday
M,28,Mexico,7.16,monday
M,34,Mexico,12.78,monday
F,29,Colombia,9.6,thursday
M,30,Mexico,13.43,wednesday
M,29,Spain,11.54,thursday
M,28,Spain,10.85,wednesday
M,36,Peru,10.83,tuesday
F,35,Spain,10.46,tuesday
M,31,Peru,9.48,thursday
M,26,Peru,10.15,thursday
F,30,Spain,8.2,monday
F,31,Spain,12.3,monday
M,25,Peru,11.51,tuesday
M,27,Peru,9.34,friday
M,34,Peru,12.39,tuesday
M,33,Spain,8.85,friday
F,34,Peru,10.93,tuesday
M,36,Peru,12.04,friday
M,35,Colombia,13.29,monday
F,30,Colombia,11.25,thursday
M,32,Spain,12.29,friday
F,29,Colombia,12.02,thursday
M,31,Spain,9.43,monday
M,27,Spain,14.08,wednesday
F,30,Peru,8.85,monday
F,37,Mexico,10.2,tuesday
M,30,Spain,11.64,thursday
M,28,Spain,11.48,friday
M,31,Peru,10.44,thursday
F,35,Spain,10.76,tuesday
M,29,Spain,12.59,monday
M,32,Peru,12.63,tuesday
M,27,Spain,9.96,thursday
F,31,Peru,12.02,monday
M,25,Peru,8.33,thursday
F,31,Mexico,8.94,wednesday
M,33,Peru,11.94,monday
F,34,Spain,7.17,tuesday
M,28,Colombia,8.6,thursday
F,33,Spain,9.8,tuesday
F,27,Colombia,8.69,tuesday
M,29,Spain,9.56,tuesday
M,29,Colombia,10.22,thursday
M,33,Colombia,6.88,wednesday
F,29,Mexico,8.64,thursday
F,29,Mexico,9.65,thursday
M,31,Colombia,9.18,monday
M,26,Peru,9.16,wednesday
F,27,Mexico,11.53,thursday
M,34,Peru,8.72,tuesday
M,28,Mexico,6.47,friday
M,34,Spain,5.57,monday
M,33,Peru,10.86,friday
M,35,Spain,11.06,wednesday
F,28,Mexico,9.5,tuesday
F,31,Peru,13.08,tuesday
M,28,Peru,4.9,thursday
M,27,Spain,7.71,tuesday
F,31,Peru,8.26,tuesday
M,33,Spain,9.13,thursday
M,32,Peru,9.46,monday
M,29,Mexico,8.25,monday
F,27,Colombia,8.54,monday
M,32,Colombia,10.73,wednesday
F,32,Peru,12.81,thursday
M,35,Peru,8.97,tuesday
M,28,Mexico,7.48,friday
F,29,Colombia,9.4,thursday
F,33,Spain,9.34,wednesday
F,31,Mexico,8.54,monday
F,37,Colombia,11.82,thursday
M,25,Peru,10.46,wednesday
F,29,Peru,11.5,wednesday
M,27,Peru,8.45,monday
M,35,Mexico,6.15,thursday
F,31,Mexico,12.51,friday
M,33,Spain,11.26,thursday
F,31,Spain,12.67,wednesday
F,26,Mexico,8.73,friday
F,24,Spain,10.81,wednesday
M,35,Spain,7.54,tuesday
F,38,Peru,9.88,monday
F,30,Colombia,12.68,friday
M,29,Spain,8.83,tuesday
M,35,Spain,11.8,monday
M,36,Colombia,10.54,monday
F,24,Spain,9.37,monday
M,28,Spain,8.48,friday
M,41,Peru,7.92,monday
M,35,Peru,10.81,wednesday
F,31,Mexico,6.41,friday
F,28,Peru,10.3,tuesday
F,31,Peru,12.3,tuesday
F,30,Spain,9.95,thursday
F,27,Peru,12.33,friday
F,34,Peru,10.36,thursday
M,33,Peru,8.88,monday
M,28,Colombia,9.56,wednesday
M,30,Mexico,10.64,monday
M,31,Spain,10.47,monday
M,24,Mexico,10.0,friday
F,24,Colombia,10.04,thursday
M,33,Mexico,11.88,wednesday
F,25,Colombia,12.7,friday
F,34,Mexico,11.36,thursday
M,25,Mexico,9.82,monday
F,31,Colombia,12.1,thursday
M,36,Peru,14.48,tuesday
F,25,Mexico,12.87,friday
M,29,Colombia,6.52,friday
F,31,Peru,9.59,friday
M,30,Colombia,10.87,wednesday
F,26,Spain,11.07,tuesday
F,27,Colombia,14.13,monday
F,32,Spain,12.09,monday
F,32,Peru,10.86,tuesday
F,32,Colombia,8.84,tuesday
M,29,Mexico,8.92,wednesday
F,24,Peru,10.97,thursday
F,24,Spain,11.38,friday
F,26,Colombia,10.8,tuesday
F,24,Colombia,11.06,friday
F,35,Peru,6.86,thursday
M,31,Mexico,10.28,monday
M,31,Mexico,12.95,tuesday
F,30,Peru,9.46,wednesday
F,23,Mexico,12.3,monday
M,32,Mexico,10.54,monday
M,28,Mexico,9.75,tuesday
M,20,Peru,9.38,monday
M,23,Peru,9.73,wednesday
M,38,Peru,11.65,friday
M,27,Mexico,10.47,friday
M,28,Peru,11.94,tuesday
F,22,Mexico,11.03,wednesday
F,31,Peru,7.91,thursday
M,28,Peru,6.72,friday
M,36,Spain,9.48,tuesday
F,37,Spain,9.61,wednesday
M,30,Peru,11.94,wednesday
M,25,Mexico,9.74,tuesday
F,32,Colombia,11.19,tuesday
M,30,Spain,10.5,wednesday
M,26,Spain,8.11,wednesday
M,32,Mexico,11.34,monday
M,34,Spain,8.8,tuesday
F,25,Spain,8.07,friday
M,35,Peru,7.35,friday
M,18,Mexico,9.55,tuesday
F,28,Mexico,10.71,wednesday
M,25,Peru,9.62,tuesday
M,30,Mexico,10.45,wednesday
M,30,Spain,11.87,wednesday
F,25,Peru,6.51,thursday
M,32,Peru,14.15,thursday
M,34,Peru,10.23,friday
M,35,Mexico,9.31,wednesday
M,32,Mexico,9.82,tuesday
M,33,Spain,10.16,wednesday
F,28,Mexico,13.19,friday
M,33,Colombia,8.13,tuesday
M,28,Colombia,10.74,friday
F,34,Spain,13.83,monday
M,28,Peru,9.35,friday
M,29,Mexico,7.79,monday
M,28,Colombia,7.9,thursday
F,36,Mexico,8.52,thursday
M,30,Spain,11.84,tuesday
F,31,Mexico,11.41,monday
F,28,Spain,6.97,wednesday
F,30,Colombia,13.64,thursday
M,22,Colombia,12.18,friday
F,29,Mexico,9.52,tuesday
M,33,Mexico,11.14,monday
F,27,Mexico,10.95,monday
F,25,Colombia,12.19,wednesday
M,31,Colombia,6.44,thursday
F,27,Mexico,9.78,monday
M,28,Mexico,10.24,tuesday
F,30,Mexico,10.37,friday
F,28,Peru,8.91,friday
M,36,Peru,8.67,friday
F,27,Spain,10.44,wednesday
F,34,Spain,10.03,thursday
F,30,Mexico,10.22,tuesday
M,30,Mexico,11.42,wednesday
M,30,Spain,8.08,wednesday
F,27,Colombia,8.48,monday
F,31,Peru,12.1,thursday
F,30,Spain,7.67,friday
F,29,Peru,12.03,monday
M,28,Mexico,10.88,monday
M,31,Spain,11.4,wednesday
F,24,Peru,9.02,thursday
M,29,Colombia,11.39,wednesday
M,33,Spain,13.28,friday
F,32,Spain,8.49,thursday
F,27,Peru,11.43,monday
F,27,Colombia,7.72,wednesday
M,27,Mexico,11.67,thursday
F,29,Peru,7.44,monday
M,27,Spain,10.95,tuesday
F,28,Mexico,11.07,wednesday
F,31,Mexico,6.06,tuesday
F,33,Colombia,12.76,friday
F,34,Colombia,7.65,monday
F,29,Mexico,13.06,friday
M,29,Peru,8.34,thursday
M,33,Colombia,9.6,monday
M,34,Spain,8.43,tuesday
M,32,Colombia,6.35,thursday
F,34,Peru,9.04,monday
M,34,Peru,9.95,tuesday
F,31,Peru,7.67,wednesday
M,26,Colombia,8.65,wednesday
M,32,Mexico,7.89,monday
F,21,Peru,9.81,wednesday
M,27,Mexico,8.83,wednesday
M,26,Spain,7.85,thursday
M,30,Mexico,9.64,monday
F,27,Colombia,9.23,monday
F,30,Mexico,9.86,thursday
M,29,Mexico,9.39,friday
M,30,Mexico,10.26,friday
F,25,Peru,10.0,monday
F,28,Mexico,9.55,thursday
F,38,Spain,12.92,friday
M,29,Spain,9.5,friday
M,26,Spain,12.83,thursday
M,30,Colombia,8.43,thursday
M,31,Mexico,6.38,monday
M,32,Colombia,9.71,wednesday
F,32,Mexico,9.43,tuesday
M,25,Spain,5.8,thursday
M,23,Colombia,8.86,thursday
F,35,Spain,7.76,tuesday
M,28,Peru,9.81,friday
M,33,Spain,7.09,tuesday
F,29,Mexico,11.06,friday
M,32,Colombia,11.64,tuesday
F,33,Spain,9.82,wednesday
F,31,Mexico,12.6,friday
M,35,Spain,9.92,thursday
F,30,Peru,10.74,thursday
F,28,Colombia,7.9,monday
M,36,Mexico,9.34,wednesday
M,31,Spain,13.15,wednesday
F,32,Spain,13.09,tuesday
F,27,Colombia,12.48,wednesday
F,29,Mexico,8.37,wednesday
M,26,Mexico,10.14,thursday
M,28,Colombia,9.83,wednesday
M,32,Spain,10.71,monday
M,31,Mexico,11.29,monday
F,34,Peru,10.19,thursday
F,28,Spain,14.45,tuesday
F,31,Mexico,11.69,wednesday
M,32,Mexico,11.01,tuesday
M,34,Mexico,11.18,friday
M,27,Colombia,11.7,monday
F,24,Mexico,7.46,tuesday
M,25,Mexico,8.84,friday
F,29,Colombia,10.07,monday
M,22,Colombia,7.27,monday
M,27,Colombia,8.7,friday
F,29,Spain,8.36,thursday
F,32,Colombia,10.0,wednesday
M,26,Colombia,11.61,friday
M,29,Mexico,15.68,thursday
M,20,Colombia,9.53,wednesday
F,29,Peru,8.23,tuesday
M,34,Peru,7.72,thursday
F,29,Spain,8.85,wednesday
M,34,Spain,11.06,tuesday
M,30,Spain,9.24,tuesday
M,26,Mexico,10.45,wednesday
F,29,Spain,7.82,friday
M,30,Mexico,6.36,friday
M,32,Colombia,6.74,monday
F,31,Mexico,4.52,friday
M,35,Colombia,7.64,wednesday
F,30,Mexico,10.67,monday
F,32,Colombia,11.18,tuesday
M,28,Peru,10.01,monday
M,31,Peru,10.51,monday
M,31,Spain,8.73,wednesday
F,21,Colombia,8.72,friday
F,23,Spain,10.48,monday
M,31,Mexico,8.49,wednesday
M,38,Colombia,12.24,tuesday
M,29,Mexico,10.36,friday
F,31,Colombia,9.12,tuesday
M,29,Colombia,8.7,thursday
F,22,Spain,12.9,monday
F,31,Mexico,10.23,friday
M,30,Mexico,10.52,thursday
M,32,Spain,12.31,friday
F,30,Colombia,10.02,monday
M,28,Peru,7.97,tuesday
F,31,Spain,9.42,monday
F,27,Colombia,5.24,friday
F,30,Peru,10.87,tuesday
M,26,Colombia,8.96,friday
M,28,Colombia,13.72,monday
F,21,Mexico,7.86,monday
F,31,Colombia,8.55,thursday
M,30,Mexico,8.01,wednesday
M,29,Colombia,10.16,friday
M,33,Spain,6.87,monday
F,34,Mexico,11.28,monday
F,32,Peru,7.27,tuesday
M,32,Colombia,12.8,friday
M,34,Peru,11.93,monday
F,39,Colombia,10.84,monday
F,26,Mexico,7.93,monday
M,24,Spain,8.09,monday
F,30,Mexico,8.46,thursday
F,29,Spain,7.15,wednesday
M,31,Colombia,8.81,wednesday
F,27,Mexico,8.88,thursday
F,27,Mexico,11.24,friday
F,34,Spain,7.59,wednesday
F,28,Peru,5.72,wednesday
F,41,Mexico,12.53,wednesday
M,27,Peru,7.7,thursday
M,30,Colombia,6.9,friday
F,28,Mexico,8.3,friday
F,34,Colombia,8.17,wednesday
F,23,Spain,10.17,wednesday
F,31,Peru,10.11,tuesday
F,33,Colombia,11.84,tuesday
F,30,Colombia,12.67,friday
F,29,Colombia,7.0,monday
M,27,Spain,10.09,friday
M,29,Colombia,11.03,monday
F,28,Colombia,6.17,tuesday
M,26,Peru,8.78,tuesday
F,32,Spain,10.91,monday
M,35,Colombia,6.88,wednesday
F,31,Peru,10.07,tuesday
F,22,Mexico,6.52,monday
F,32,Mexico,6.13,friday
M,35,Colombia,9.3,thursday
F,26,Mexico,9.6,tuesday
F,30,Peru,12.57,tuesday
F,28,Spain,10.68,monday
M,30,Peru,10.69,thursday
F,34,Spain,12.33,monday
F,32,Colombia,10.16,thursday
F,25,Colombia,8.9,wednesday
M,29,Mexico,12.15,tuesday
M,29,Mexico,10.99,wednesday
M,31,Spain,9.86,wednesday
F,34,Colombia,11.12,friday
F,32,Colombia,4.33,wednesday
F,37,Mexico,10.76,thursday
M,26,Spain,10.92,thursday
M,27,Mexico,9.9,tuesday
M,34,Spain,7.5,tuesday
M,33,Mexico,8.1,monday
M,31,Peru,10.12,wednesday
F,29,Spain,10.27,tuesday
M,29,Peru,7.61,friday
F,32,Colombia,10.62,monday
F,30,Colombia,12.39,wednesday
M,31,Peru,12.53,friday
F,32,Peru,11.05,thursday
F,29,Colombia,12.34,wednesday
F,30,Mexico,9.79,tuesday
M,27,Mexico,8.95,monday
F,27,Mexico,9.56,thursday
F,24,Spain,12.02,tuesday
M,28,Peru,5.97,thursday
M,34,Spain,10.62,monday
F,36,Peru,10.31,friday
F,31,Colombia,6.29,tuesday
M,38,Mexico,9.2,thursday
F,35,Mexico,12.83,friday
M,29,Mexico,12.22,friday
M,32,Spain,6.68,wednesday
M,30,Peru,8.62,monday
F,26,Spain,14.46,friday
F,27,Mexico,10.22,friday
F,27,Colombia,7.03,thursday
M,24,Spain,7.33,monday
F,31,Mexico,9.97,tuesday
M,33,Mexico,14.63,wednesday
F,26,Peru,8.82,friday
F,23,Spain,11.71,friday
F,35,Colombia,9.46,thursday
F,35,Colombia,10.06,friday
F,28,Spain,8.36,tuesday
F,24,Spain,10.57,wednesday
M,30,Spain,8.57,tuesday
F,26,Peru,12.76,wednesday
F,30,Mexico,10.59,thursday
F,34,Peru,9.38,tuesday
M,35,Spain,11.79,wednesday
M,32,Peru,8.77,wednesday
M,27,Colombia,13.87,wednesday
F,26,Peru,9.76,monday
F,27,Spain,14.97,monday
M,35,Spain,8.63,thursday
M,34,Spain,7.7,monday
F,31,Colombia,13.5,wednesday
F,29,Mexico,4.62,friday
F,22,Spain,10.49,thursday
M,24,Peru,11.67,friday
M,30,Spain,9.1,friday
M,30,Colombia,7.48,thursday
M,35,Peru,9.27,thursday
M,33,Peru,11.92,monday
M,34,Peru,9.17,wednesday
F,24,Mexico,9.34,monday
F,22,Peru,5.85,thursday
M,26,Peru,8.34,wednesday
M,31,Spain,11.9,tuesday
F,24,Colombia,8.32,monday
F,30,Peru,7.39,tuesday
M,33,Colombia,14.45,friday
F,28,Peru,12.54,monday
M,29,Mexico,9.73,tuesday
F,31,Colombia,10.32,friday
M,29,Colombia,14.5,monday
F,34,Mexico,6.54,tuesday
F,33,Spain,9.3,tuesday
M,28,Peru,14.91,thursday
F,31,Peru,6.33,tuesday
M,23,Colombia,10.44,thursday
F,29,Peru,10.77,tuesday
M,33,Colombia,9.45,wednesday
M,27,Colombia,9.93,wednesday
F,31,Peru,9.58,thursday
F,29,Mexico,7.16,thursday
M,27,Spain,11.88,thursday
M,30,Mexico,14.14,monday
F,28,Peru,10.88,wednesday
M,31,Spain,12.08,tuesday
M,26,Spain,10.85,monday
F,30,Colombia,10.24,friday
M,28,Colombia,8.32,thursday
F,29,Spain,12.82,thursday
F,27,Colombia,8.53,thursday
M,31,Peru,8.45,friday
M,30,Mexico,12.58,wednesday
F,34,Colombia,6.3,monday
F,34,Peru,6.44,wednesday
F,29,Spain,12.87,friday
M,24,Peru,12.02,thursday
M,32,Colombia,6.02,wednesday
F,32,Colombia,8.11,friday
M,28,Mexico,12.07,friday
F,27,Colombia,9.87,wednesday
M,31,Spain,7.67,wednesday
F,29,Peru,11.63,monday
F,31,Peru,9.95,monday
F,27,Spain,9.62,friday
F,25,Mexico,8.8,monday
M,33,Mexico,9.3,wednesday
M,28,Spain,10.74,thursday
M,21,Mexico,10.25,tuesday
M,28,Mexico,8.91,tuesday
F,26,Mexico,9.51,wednesday
M,30,Colombia,11.48,wednesday
M,33,Spain,11.11,tuesday
F,28,Mexico,6.93,tuesday
M,28,Spain,8.31,monday
M,31,Peru,7.95,thursday
F,34,Spain,11.74,tuesday
F,30,Spain,10.01,wednesday
M,29,Mexico,12.97,monday
M,27,Spain,7.42,thursday
M,23,Colombia,11.03,thursday
M,26,Peru,9.16,tuesday
F,35,Spain,10.87,thursday
M,22,Colombia,9.8,thursday
M,26,Colombia,5.53,tuesday
M,29,Mexico,8.2,monday
M,30,Mexico,6.25,tuesday
M,34,Peru,8.69,wednesday
F,30,Peru,12.53,wednesday
M,28,Colombia,11.86,monday
M,27,Colombia,7.59,tuesday
M,31,Colombia,13.35,tuesday
F,33,Colombia,10.87,wednesday
F,34,Spain,12.73,thursday
F,31,Colombia,10.6,monday
F,28,Spain,12.87,tuesday
M,24,Spain,11.28,friday
F,32,Spain,11.76,monday
F,27,Colombia,4.65,friday
F,39,Peru,6.71,friday
M,25,Peru,5.5,thursday
M,31,Peru,8.98,thursday
M,27,Peru,10.3,tuesday
M,27,Spain,7.35,tuesday
F,27,Colombia,8.77,monday
F,30,Colombia,12.65,tuesday
F,31,Mexico,7.7,thursday
M,24,Colombia,8.01,thursday
M,25,Mexico,11.92,wednesday
